指标名称,别名,模块,子模块,来源类型,报表类型,提取器,适用范围,所在位置,适用行业,适用子类型,适用公司,排除公司,akshare_statement,akshare_field,report_selectors,schema_hint,computed_formula,computed_inputs,单位,周期类型,方向,备注,csv_annotated,csv_source
资产总计,总资产 | 资产总额 | Total Assets,balance_sheet,一、资产,akshare,年报/半年报/季报,auto,universal[*],akshare:balance_sheet,*,*,*,,balance_sheet,资产总计,,,,,元,annual,none,Standard balance-sheet line item; akshare preferred.,True,
负债合计,总负债 | Total Liabilities,balance_sheet,二、负债,akshare,年报/半年报/季报,auto,universal[*],akshare:balance_sheet,*,*,*,,balance_sheet,负债合计,,,,,元,annual,none,Standard balance-sheet line item.,True,
所有者权益合计,股东权益合计 | 净资产 | Total Equity,balance_sheet,三、所有者权益,akshare,年报/半年报/季报,auto,universal[*],akshare:balance_sheet,*,*,*,,balance_sheet,所有者权益合计,,,,,元,annual,none,Standard balance-sheet line item.,True,
客户存款,存款总额 | Customer Deposits,balance_sheet,二、负债,report,年报/半年报/季报,llm,bank(*)[*],客户存款,bank,*,*,,,,客户存款 | 资产负债表,"{""indicator"": ""客户存款"", ""period"": ""本年""}",,,元,annual,none,Bank deposit balance; reported in the consolidated balance sheet narrative.,True,
发放贷款及垫款,贷款及垫款 | 贷款余额 | Loans and Advances to Customers,balance_sheet,一、资产,report,年报/半年报/季报,llm,bank(*)[*],发放贷款及垫款,bank,*,*,,,,发放贷款及垫款 | 资产负债表,,,,元,annual,none,Bank loan balance.,True,
资本充足率,CAR | Capital Adequacy Ratio,balance_sheet,四、核心指标,report,年报/半年报,llm,bank(*)[*],资本充足率分析,bank,*,*,,,,资本充足率分析 | 资本充足率 | 风险管理,"{""indicator"": ""资本充足率"", ""period"": ""本年"", ""unit"": ""%""}",,,%,annual,higher_is_better,Bank-specific capital adequacy; not in akshare standard statements. Section title varies by bank.,True,
一级资本充足率,Tier 1 Capital Adequacy Ratio,balance_sheet,四、核心指标,report,年报/半年报,llm,bank(*)[*],资本充足率分析,bank,*,*,,,,资本充足率分析 | 资本充足率 | 风险管理,"{""indicator"": ""一级资本充足率"", ""period"": ""本年"", ""unit"": ""%""}",,,%,annual,higher_is_better,Tier-1 capital adequacy.,True,
核心一级资本充足率,Common Equity Tier 1 Capital Adequacy Ratio,balance_sheet,四、核心指标,report,年报/半年报,llm,bank(*)[*],资本充足率分析,bank,*,*,,,,资本充足率分析 | 资本充足率 | 风险管理,"{""indicator"": ""核心一级资本充足率"", ""period"": ""本年"", ""unit"": ""%""}",,,%,annual,higher_is_better,Core tier-1 capital adequacy.,True,
风险加权资产合计,RWA | Total Risk-Weighted Assets,balance_sheet,四、核心指标,report,年报/半年报,llm,bank(*)[*],资本充足率,bank,*,*,,,,资本充足率 | 风险管理,,,,元,annual,none,Risk-weighted assets.,True,
净利差,Net Interest Spread,balance_sheet,四、核心指标,report,年报/半年报,llm,bank(*)[*],主要财务指标,bank,*,*,,,,主要财务指标 | 财务概要 | 讨论与分析 | 管理层讨论与分析,,,,%,annual,higher_is_better,Net interest spread.,True,
净息差,NIM | Net Interest Margin,balance_sheet,四、核心指标,report,年报/半年报,llm,bank(*)[*],主要财务指标,bank,*,*,,,,主要财务指标 | 财务概要 | 讨论与分析 | 管理层讨论与分析,,,,%,annual,higher_is_better,Net interest margin.,True,
流动性覆盖率,LCR | Liquidity Coverage Ratio,balance_sheet,四、核心指标,report,年报/半年报,llm,bank(*)[*],流动性风险,bank,*,*,,,,流动性风险 | 风险管理,,,,%,annual,higher_is_better,Liquidity coverage ratio.,True,
流动性比例（人民币）,人民币流动性比例 | Liquidity Ratio (RMB),balance_sheet,四、核心指标,report,年报/半年报/季报,llm,bank(*)[*],流动性风险,bank,*,*,,,,流动性风险 | 风险管理,,,,%,annual,higher_is_better,RMB liquidity ratio.,True,
贷款和垫款总额,贷款总额 | Total Loans and Advances,balance_sheet,五、贷款质量,report,年报/半年报/季报,llm,bank(*)[*],五、贷款质量,bank,*,*,,,,五、贷款质量 | 贷款质量 | 信用风险 | 风险管理,,,,元,annual,none,Total loans & advances.,True,
不良贷款余额,不良余额 | Non-performing Loans,balance_sheet,五、贷款质量,report,年报/半年报/季报,llm,bank(*)[*],贷款质量,bank,*,*,,,,贷款质量 | 信用风险 | 风险管理,,,,元,annual,lower_is_better,Non-performing loan balance.,True,
不良率,不良贷款率 | NPL Ratio,balance_sheet,五、贷款质量,computed,年报/半年报/季报,computed,bank(*)[*],computed:不良贷款余额 / 贷款和垫款总额 * 100,bank,*,*,,,,,,不良贷款余额 / 贷款和垫款总额 * 100,不良贷款余额 | 贷款和垫款总额,%,annual,lower_is_better,Computed locally from extracted bases; not sent to the LLM.,True,
拨备覆盖率,不良贷款拨备覆盖率,balance_sheet,五、贷款质量,report,,llm,bank(*)[*],贷款质量,bank,*,*,,,,贷款质量 | 信用风险 | 风险管理,,,,%,annual,higher_is_better,NPL coverage ratio.,,
拨贷比,贷款拨备率 | Loan Loss Provision Ratio,balance_sheet,五、贷款质量,report,年报/半年报/季报,llm,bank(*)[*],贷款质量,bank,*,*,,,,贷款质量 | 信用风险,,,,%,annual,higher_is_better,Provision-to-loan ratio.,True,
正常类贷款迁徙率,Passing Loan Migration Rate,balance_sheet,五、贷款质量,report,年报/半年报,llm,bank(*)[*],贷款质量,bank,*,*,,,,贷款质量 | 信用风险,,,,%,annual,lower_is_better,Pass-category migration rate.,True,
关注类贷款迁徙率,Special Mention Loan Migration Rate,balance_sheet,五、贷款质量,report,年报/半年报,llm,bank(*)[*],贷款质量,bank,*,*,,,,贷款质量 | 信用风险,,,,%,annual,lower_is_better,Special-mention migration rate.,True,
次级类贷款迁徙率,Substandard Loan Migration Rate,balance_sheet,五、贷款质量,report,年报/半年报,llm,bank(*)[*],贷款质量,bank,*,*,,,,贷款质量 | 信用风险,,,,%,annual,lower_is_better,Substandard migration rate.,True,
可疑类贷款迁徙率,Doubtful Loan Migration Rate,balance_sheet,五、贷款质量,report,年报/半年报,llm,bank(*)[*],贷款质量,bank,*,*,,,,贷款质量 | 信用风险,,,,%,annual,lower_is_better,Doubtful migration rate.,True,
逾期贷款率,Overdue Loan Ratio,balance_sheet,五、贷款质量,report,年报/半年报/季报,llm,bank(*)[*],贷款质量,bank,*,*,,,,贷款质量 | 信用风险,,,,%,annual,lower_is_better,Overdue loan ratio.,True,
重组贷款率,Restructured Loan Ratio,balance_sheet,五、贷款质量,report,年报/半年报/季报,llm,bank(*)[*],贷款质量,bank,*,*,,,,贷款质量 | 信用风险,,,,%,annual,lower_is_better,Restructured loan ratio.,True,
逾期90天重组贷款率,逾期 90 天重组贷款率 | Restructured Loan Overdue 90 Days Ratio,balance_sheet,五、贷款质量,report,年报/半年报/季报,llm,bank(国有大行/股份制)[*],贷款质量,bank,国有大行 | 股份制,*,,,,贷款质量 | 信用风险,,,,%,annual,lower_is_better,Company-specific: only major banks disclose this breakdown. Sub-type scoped to 国有大行/股份制.,True,
员工人数,在职员工人数 | Number of Employees,balance_sheet,六、员工情况,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理,*,*,*,,,,人力资源管理 | 员工情况 | 员工,"{""indicator"": ""员工人数""}",,,人,annual,none,Headcount; deterministic regex extractor (label + number on the same/next line).,True,
前十大股东持仓占总股本比例,前十大股东持股比例 | Top 10 Shareholders Ownership,balance_sheet,七、股本、股东以及估值,report,年报/半年报/季报,llm,universal[*],股本变动,*,*,*,,,,股本变动 | 股份变动及股东情况 | 股东情况 | 主要股东,,,,%,annual,none,Top-10 shareholders' aggregate holding.,True,
营业收入,营收 | Operating Revenue,income_statement,一、营业收入,akshare,年报/半年报/季报,auto,universal[*],akshare:income_statement,*,*,*,,income_statement,营业收入,,,,,元,annual,higher_is_better,Standard income-statement line item.,True,
净利润,Net Profit,income_statement,五、净利润,akshare,年报/半年报/季报,auto,universal[*],akshare:income_statement,*,*,*,,income_statement,净利润,,,,,元,annual,higher_is_better,Standard income-statement line item.,True,
净利息收入,Net Interest Income,income_statement,一、营业收入,akshare,年报/半年报/季报,auto,bank(*)[*],akshare:income_statement,bank,*,*,,income_statement,利息净收入,,,,,元,annual,higher_is_better,Net interest income; akshare column name is 利息净收入.,True,
手续费及佣金净收入,中间业务收入 | Net Fee and Commission Income,income_statement,一、营业收入,akshare,年报/半年报/季报,auto,bank(*)[*],akshare:income_statement,bank,*,*,,income_statement,手续费及佣金净收入,,,,,元,annual,higher_is_better,Fee & commission net income.,True,
营业利润,Operating Profit,income_statement,三、营业利润,akshare,年报/半年报/季报,auto,universal[*],akshare:income_statement,*,*,*,,income_statement,营业利润,,,,,元,annual,higher_is_better,Operating profit.,True,
利润总额,Total Profit,income_statement,四、利润总额,akshare,年报/半年报/季报,auto,universal[*],akshare:income_statement,*,*,*,,income_statement,利润总额,,,,,元,annual,higher_is_better,Total profit.,True,
基本每股收益,EPS | Basic EPS,income_statement,六、每股收益,akshare,年报/半年报/季报,auto,universal[*],akshare:income_statement,*,*,*,,income_statement,基本每股收益,,,,,元/股,annual,higher_is_better,Basic EPS.,True,
分红金额,现金分红 | Total Dividend Amount,income_statement,九、分红、融资及涨跌幅,report,年报,llm,universal[*],利润分配,*,*,*,,,,利润分配 | 重要事项,,,,元,annual,none,Cash dividend amount.,True,
经营活动产生的现金流量净额,经营现金流净额 | Net Cash from Operating Activities,cashflow,一、经营活动产生的现金流量,akshare,年报/半年报/季报,auto,universal[*],akshare:cashflow,*,*,*,,cashflow,经营活动产生的现金流量净额,,,,,元,annual,higher_is_better,Operating cash flow net.,True,
投资活动产生的现金流量净额,投资现金流净额 | Net Cash from Investing Activities,cashflow,二、投资活动产生的现金流量,akshare,年报/半年报/季报,auto,universal[*],akshare:cashflow,*,*,*,,cashflow,投资活动产生的现金流量净额,,,,,元,annual,none,Investing cash flow net.,True,
筹资活动产生的现金流量净额,筹资现金流净额 | Net Cash from Financing Activities,cashflow,三、筹资活动产生的现金流量,akshare,年报/半年报/季报,auto,universal[*],akshare:cashflow,*,*,*,,cashflow,筹资活动产生的现金流量净额,,,,,元,annual,none,Financing cash flow net.,True,
资产负债率,Asset-Liability Ratio,financial_ratio,七、偿债及资本结构,computed,年报/半年报/季报,computed,universal[*],computed:负债合计 / 资产总计 * 100,*,*,*,,,,,,负债合计 / 资产总计 * 100,负债合计 | 资产总计,%,annual,none,Computed locally.,True,
净利润率,销售净利率 | Net Profit Margin,financial_ratio,四、盈利能力,computed,年报/半年报/季报,computed,universal[*],computed:净利润 / 营业收入 * 100,*,*,*,,,,,,净利润 / 营业收入 * 100,净利润 | 营业收入,%,annual,higher_is_better,Computed locally.,True,
营业利润率,Operating Profit Margin,financial_ratio,四、盈利能力,computed,年报/半年报/季报,computed,universal[*],computed:营业利润 / 营业收入 * 100,*,*,*,,,,,,营业利润 / 营业收入 * 100,营业利润 | 营业收入,%,annual,higher_is_better,Computed locally.,True,
拨贷比_coverage,拨备覆盖率_calc,financial_ratio,四、盈利能力,computed,,computed,bank(*)[*],computed:贷款损失准备 / 不良贷款余额 * 100,bank,*,*,,,,,,贷款损失准备 / 不良贷款余额 * 100,贷款损失准备 | 不良贷款余额,%,annual,higher_is_better,Computed coverage ratio example; requires 贷款损失准备 to be extracted first.,,
人均营业收入,Revenue per Employee,financial_ratio,一、人均指标,computed,年报/半年报/季报,computed,universal[*],computed:营业收入 / 员工人数,*,*,*,,,,,,营业收入 / 员工人数,营业收入 | 员工人数,元/人,annual,higher_is_better,Computed locally; requires 员工人数 from the report path.,True,
人均净利润,Net Profit per Employee,financial_ratio,一、人均指标,computed,年报/半年报/季报,computed,universal[*],computed:净利润 / 员工人数,*,*,*,,,,,,净利润 / 员工人数,净利润 | 员工人数,元/人,annual,higher_is_better,Computed locally.,True,
境内收入,境内营业收入 | Domestic Revenue,income_statement,八、区域收入,report,年报/半年报,llm,universal[*],分部信息,*,*,*,,,,分部信息 | 分地区 | 营业收入构成,,,,元,annual,none,Domestic revenue; company-specific disclosure (not all companies report by region).,True,
境外收入,境外营业收入 | Overseas Revenue,income_statement,八、区域收入,report,年报/半年报,llm,universal[*],分部信息,*,*,*,,,,分部信息 | 分地区 | 营业收入构成,,,,元,annual,none,Overseas revenue; company-specific disclosure.,True,
现金及存放中央银行款项,Cash and Reserves with Central Bank,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
现金,Cash,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
存放中央银行款项,Reserves with Central Bank,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
存放同业及其他金融机构款项,Due from Banks,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
贵金属,Precious Metals,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
拆出资金,Loans to Banks,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
买入返售金融资产,Reverse Repurchase Agreements,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
衍生金融资产,Derivative Financial Assets,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
金融投资,Financial Investments,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
以公允价值计量且其变动计入当期损益的金融投资,Financial Investments at FVTPL,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
以摊余成本计量的金融投资,Financial Investments at Amortized Cost,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
以公允价值计量且其变动计入其他综合收益的金融投资,Financial Investments at FVTOCI,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
以公允价值计量且其变动计入其他综合收益的债务工具投资,Debt Investments at FVTOCI,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
指定为以公允价值计量且其变动计入其他综合收益的权益工具投资,Equity Investments at FVTOCI,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
可供出售金融资产,Available-for-Sale Financial Assets,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
持有至到期投资,Held-to-Maturity Investments,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
应收款项投资,Investment Receivables,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
应收利息,Interest Receivable,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
长期应收款,Long-term Receivables,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
长期股权投资,Long-term Equity Investments,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,股,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
投资性房地产,Investment Properties,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
固定资产,Fixed Assets,balance_sheet,资产负债表 — 一、资产 / 附注,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产 / 附注),,True
固定资产占总资产比率,Fixed Assets to Total Assets Ratio,report_section,财务报表附注,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,%,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
在建工程,Construction in Progress,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
使用权资产,Right-of-Use Assets,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
无形资产,Intangible Assets,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
商誉,Goodwill,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
商誉占净资产比率,Goodwill to Net Assets Ratio,report_section,财务报表附注,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,%,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
递延所得税资产,Deferred Tax Assets,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
其他资产,Other Assets,balance_sheet,资产负债表 — 一、资产,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 一、资产),,True
向中央银行借款,Borrowings from Central Bank,balance_sheet,资产负债表 — 二、负债,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 二、负债),,True
同业存入及拆入,Due to Banks,balance_sheet,资产负债表 — 二、负债,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 二、负债),,True
同业及其他金融机构存放款项,Due to Other Banks,balance_sheet,资产负债表 — 二、负债,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 二、负债),,True
拆入资金,Borrowings from Banks,balance_sheet,资产负债表 — 二、负债,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 二、负债),,True
衍生金融负债,Derivative Financial Liabilities,balance_sheet,资产负债表 — 二、负债,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,*,*,*,,,,资产负债表,,,,元,annual,none,sourced from indicators_position.csv (section: 资产负债表 — 二、负债),,True
