指标名称,别名,模块,子模块,来源类型,报表类型,提取器,适用范围,所在位置,适用行业,适用子类型,适用公司,排除公司,akshare_statement,akshare_field,report_selectors,schema_hint,computed_formula,computed_inputs,单位,周期类型,方向,备注,csv_annotated,csv_source
收回投资收到的现金,Cash Received from Disposal of Investments,cashflow,现金流量表 — 投资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 投资活动),,True
取得投资收益所收到的现金,Cash Received from Investment Income,cashflow,现金流量表 — 投资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 投资活动),,True
处置固定资产、无形资产及其他长期资产收到的现金,Cash Received from Disposal of Long-term Assets,cashflow,现金流量表 — 投资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 投资活动),,True
处置子公司、合营联营企业及其他营业单位收到的现金净额,Net Cash from Disposal of Subsidiaries and Associates,cashflow,现金流量表 — 投资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 投资活动),,True
处置子公司或其他营业单位收到的现金净额,Net Cash from Disposal of Subsidiaries,cashflow,现金流量表 — 投资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 投资活动),,True
处置合营或联营公司所收到的现金,Cash Received from Disposal of Associates,cashflow,现金流量表 — 投资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 投资活动),,True
收到的其他与投资活动相关的现金,Other Cash Receipts from Investing Activities,cashflow,现金流量表 — 投资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 投资活动),,True
投资活动现金流入小计,Total Investing Cash Inflows,cashflow,现金流量表 — 投资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 投资活动),,True
投资所支付的现金,Cash Paid for Investments,cashflow,现金流量表 — 投资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 投资活动),,True
购建固定资产、无形资产及其他长期资产所支付的现金,Cash Paid for Purchase of Long-term Assets,cashflow,现金流量表 — 投资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 投资活动),,True
取得子公司、合营联营企业及其他营业单位支付的现金净额,Net Cash for Acquisition of Subsidiaries and Associates,cashflow,现金流量表 — 投资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 投资活动),,True
取得子公司及其营业单位支付的现金净额,Net Cash for Acquisition of Subsidiaries,cashflow,现金流量表 — 投资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 投资活动),,True
取得联营及合营公司支付的现金净额,Net Cash for Acquisition of Associates,cashflow,现金流量表 — 投资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 投资活动),,True
支付的其他与投资活动有关的现金,Other Cash Payments for Investing Activities,cashflow,现金流量表 — 投资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 投资活动),,True
投资活动现金流出小计,Total Investing Cash Outflows,cashflow,现金流量表 — 投资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 投资活动),,True
吸收投资收到的现金,Cash Received from Capital Contributions,cashflow,现金流量表 — 筹资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
子公司吸收少数股东投资收到的现金,Cash Received from Minority Shareholders,cashflow,现金流量表 — 筹资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
资产证券化收到的现金,Cash Received from Asset Securitization,cashflow,现金流量表 — 筹资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
发行存款证收到的现金,Cash Received from Issuance of Certificates of Deposit,cashflow,现金流量表 — 筹资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
发行债券收到的现金,Cash Received from Issuance of Bonds,cashflow,现金流量表 — 筹资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
发行同业存单收到的现金,Cash Received from Issuance of Negotiable CDs,cashflow,现金流量表 — 筹资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
发行永续债收到的现金,Cash Received from Issuance of Perpetual Bonds,cashflow,现金流量表 — 筹资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
上市募集资金总额,Total IPO Proceeds,cashflow,现金流量表 — 筹资活动,report,年报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
收到的其他与筹资活动有关的现金,Other Cash Receipts from Financing Activities,cashflow,现金流量表 — 筹资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
筹资活动产生的现金流入小计,Total Financing Cash Inflows,cashflow,现金流量表 — 筹资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
偿还已发行存款证支付的现金,Cash Paid for Redemption of CDs,cashflow,现金流量表 — 筹资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
偿付债务支付的现金,Cash Paid for Debt Repayment,cashflow,现金流量表 — 筹资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
偿还已发行同业存单支付的现金,Cash Paid for Redemption of Negotiable CDs,cashflow,现金流量表 — 筹资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
偿还债券利息支付的现金,Cash Paid for Bond Interest,cashflow,现金流量表 — 筹资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
分配股利、利润或偿付利息所支付的现金,Cash Paid for Dividends and Interest,cashflow,现金流量表 — 筹资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,股,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
子公司支付少数股东股利及利润,Dividends Paid to Minority Shareholders,cashflow,现金流量表 — 筹资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
赎回非控制性权益支付的现金,Cash Paid for Redemption of Non-controlling Interests,cashflow,现金流量表 — 筹资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
支付新股发行费用,Cash Paid for Share Issuance Expenses,cashflow,现金流量表 — 筹资活动,report,年报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,股,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
支付的其他与筹资活动有关的现金,Other Cash Payments for Financing Activities,cashflow,现金流量表 — 筹资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
筹资活动产生的现金流出小计,Total Financing Cash Outflows,cashflow,现金流量表 — 筹资活动,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 筹资活动),,True
汇率变动对现金及现金等价物的影响,Effect of Exchange Rate Changes on Cash,cashflow,现金流量表 — 现金及现金等价物净增加额,report,年报/半年报/季报,python:percent_value,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,%,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 现金及现金等价物净增加额),,True
期初现金及现金等价物的余额,Beginning Cash and Cash Equivalents Balance,cashflow,现金流量表 — 现金及现金等价物净增加额,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 现金及现金等价物净增加额),,True
现金及现金等价物的净增加额,Net Increase in Cash and Cash Equivalents,cashflow,现金流量表 — 现金及现金等价物净增加额,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 现金及现金等价物净增加额),,True
期末现金及现金等价物净余额,Ending Cash and Cash Equivalents Balance,cashflow,现金流量表 — 现金及现金等价物净增加额,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 现金及现金等价物净增加额),,True
加：资产减值准备,Add: Asset Impairment Provisions,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
固定资产折旧、油气资产折耗、生产性生物资产折旧,Depreciation of Fixed Assets,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
投资性房地产的折旧及摊销,Depreciation and Amortization of Investment Properties,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
使用权资产摊销,Amortization of Right-of-Use Assets,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
无形资产摊销,Amortization of Intangible Assets,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
长期待摊费用摊销,Amortization of Long-term Prepaid Expenses,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
处置固定资产、无形资产和其他长期资产的损失,Loss on Disposal of Long-term Assets,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
固定资产报废损失,Loss on Retirement of Fixed Assets,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
公允价值变动损失,Fair Value Change Loss,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
财务费用,Finance Costs,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
投资损失,Investment Loss,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
递延所得税资产减少,Decrease in Deferred Tax Assets,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
递延所得税负债增加,Increase in Deferred Tax Liabilities,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
存货的减少,Decrease in Inventories,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
经营性应收项目的减少,Decrease in Operating Receivables,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
经营性应付项目的增加,Increase in Operating Payables,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
其他,Other Adjustments,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
一年内到期的可转换公司债券,Convertible Bonds Due Within One Year,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
融资租入固定资产,Finance Lease Fixed Assets,cashflow,现金流量表 — 附注,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表 — 附注),,True
人均薪酬,Salary per Employee,report_section,人力资源管理 — 员工情况,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况,*,*,*,,,,人力资源管理 — 员工情况,,,,人,annual,none,sourced from indicators_position.csv (section: 人力资源管理 — 员工情况),,True
贷存比,Loan-to-Deposit Ratio,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,元,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
归属于母公司普通股股东的每股收益,EPS Attributable to Ordinary Shareholders,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,元,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
归属于母公司普通股股东的每股扣非收益,Recurring EPS Attributable to Ordinary Shareholders,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,元,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
每股资本公积,Capital Reserve per Share,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,股,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
每股未分配利润,Retained Earnings per Share,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,股,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
每股分红,Dividend per Share,report_section,财务报表附注,report,年报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,股,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
每股经营活动产生的现金流量,Operating Cash Flow per Share,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,股,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
每股经营活动产生的现金流量净额,Net Operating Cash Flow per Share,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,股,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
归属于少数股股东的ROE,ROE Attributable to Minority Interest,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,元,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
归属于母公司普通股股东的ROE,ROE Attributable to Ordinary Shareholders,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,元,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
归属于母公司普通股股东的扣非ROE,Recurring ROE Attributable to Ordinary Shareholders,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,元,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
风险加权资产收益率（RORWA）,RORWA,report_section,财务报表附注,report,年报/半年报,python:percent_value,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,%,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
净资产收益率（ROE）,ROE,report_section,财务报表附注,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,%,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
杠杆倍数,Leverage Ratio,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,元,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
总资产收益率（ROA）,ROA,report_section,财务报表附注,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,%,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
总资产周转率,Total Asset Turnover,report_section,财务报表附注,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,%,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
固定资产周转率,Fixed Asset Turnover,report_section,财务报表附注,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,%,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
固定资产周转天数,Fixed Asset Turnover Days,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,元,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
股东权益周转天数,Equity Turnover Days,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,元,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
总资产周转天数,Total Asset Turnover Days,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,元,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
自由现金流量,Free Cash Flow,report_section,财务报表附注,report,年报/半年报/季报,llm,universal[*],财务报表附注,*,*,*,,,,财务报表附注,,,,元,annual,none,sourced from indicators_position.csv (section: 财务报表附注),,True
经投融产生的现金流量净额,Net Cash from Operating/Investing/Financing Activities,cashflow,现金流量表,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,*,*,*,,,,现金流量表,,,,元,annual,none,sourced from indicators_position.csv (section: 现金流量表),,True
