indicator,indicator_cn,section_en,section_cn,report_type
资产总计,Total Assets,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
现金及存放中央银行款项,Cash and Reserves with Central Bank,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
现金,Cash,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
存放中央银行款项,Reserves with Central Bank,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
存放同业及其他金融机构款项,Due from Banks,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
贵金属,Precious Metals,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
拆出资金,Loans to Banks,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
买入返售金融资产,Reverse Repurchase Agreements,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
发放贷款及垫款,Loans and Advances to Customers,Balance Sheet - Assets / Notes,资产负债表 — 一、资产 / 附注,年报/半年报/季报
衍生金融资产,Derivative Financial Assets,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
金融投资,Financial Investments,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
以公允价值计量且其变动计入当期损益的金融投资,Financial Investments at FVTPL,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
以摊余成本计量的金融投资,Financial Investments at Amortized Cost,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
以公允价值计量且其变动计入其他综合收益的金融投资,Financial Investments at FVTOCI,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
以公允价值计量且其变动计入其他综合收益的债务工具投资,Debt Investments at FVTOCI,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
指定为以公允价值计量且其变动计入其他综合收益的权益工具投资,Equity Investments at FVTOCI,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
可供出售金融资产,Available-for-Sale Financial Assets,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
持有至到期投资,Held-to-Maturity Investments,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
应收款项投资,Investment Receivables,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
应收利息,Interest Receivable,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
长期应收款,Long-term Receivables,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
长期股权投资,Long-term Equity Investments,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
投资性房地产,Investment Properties,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
固定资产,Fixed Assets,Balance Sheet - Assets / Notes,资产负债表 — 一、资产 / 附注,年报/半年报/季报
固定资产占总资产比率,Fixed Assets to Total Assets Ratio,Notes to Financial Statements,财务报表附注,年报/半年报/季报
在建工程,Construction in Progress,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
使用权资产,Right-of-Use Assets,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
无形资产,Intangible Assets,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
商誉,Goodwill,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
商誉占净资产比率,Goodwill to Net Assets Ratio,Notes to Financial Statements,财务报表附注,年报/半年报/季报
递延所得税资产,Deferred Tax Assets,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
其他资产,Other Assets,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
负债合计,Total Liabilities,Balance Sheet - Liabilities,资产负债表 — 二、负债,年报/半年报/季报
资产负债率,Asset-Liability Ratio,Computed,计算指标,年报/半年报/季报
向中央银行借款,Borrowings from Central Bank,Balance Sheet - Liabilities,资产负债表 — 二、负债,年报/半年报/季报
同业存入及拆入,Due to Banks,Balance Sheet - Liabilities,资产负债表 — 二、负债,年报/半年报/季报
同业及其他金融机构存放款项,Due to Other Banks,Balance Sheet - Liabilities,资产负债表 — 二、负债,年报/半年报/季报
拆入资金,Borrowings from Banks,Balance Sheet - Liabilities,资产负债表 — 二、负债,年报/半年报/季报
衍生金融负债,Derivative Financial Liabilities,Balance Sheet - Liabilities,资产负债表 — 二、负债,年报/半年报/季报
以公允价值计量且其变动计入当期损益的金融负债,Financial Liabilities at FVTPL,Balance Sheet - Liabilities,资产负债表 — 二、负债,年报/半年报/季报
卖出回购金融资产,Repurchase Agreements,Balance Sheet - Liabilities,资产负债表 — 二、负债,年报/半年报/季报
客户存款,Customer Deposits,Balance Sheet - Liabilities / Notes,资产负债表 — 二、负债 / 附注,年报/半年报/季报
应付职工薪酬,Employee Payables,Balance Sheet - Liabilities,资产负债表 — 二、负债,年报/半年报/季报
应交税费,Tax Payables,Balance Sheet - Liabilities,资产负债表 — 二、负债,年报/半年报/季报
合同负债,Contract Liabilities,Balance Sheet - Liabilities,资产负债表 — 二、负债,年报/半年报/季报
租赁负债,Lease Liabilities,Balance Sheet - Liabilities,资产负债表 — 二、负债,年报/半年报/季报
预计负债,Provisions,Balance Sheet - Liabilities,资产负债表 — 二、负债,年报/半年报/季报
应付利息,Interest Payable,Balance Sheet - Liabilities,资产负债表 — 二、负债,年报/半年报/季报
应付债券,Bonds Payable,Balance Sheet - Liabilities,资产负债表 — 二、负债,年报/半年报/季报
递延所得税负债,Deferred Tax Liabilities,Balance Sheet - Liabilities,资产负债表 — 二、负债,年报/半年报/季报
其他负债,Other Liabilities,Balance Sheet - Liabilities,资产负债表 — 二、负债,年报/半年报/季报
所有者权益合计,Total Equity,Balance Sheet - Equity,资产负债表 — 三、所有者权益,年报/半年报/季报
股东权益占比,Equity to Total Assets Ratio,Notes to Financial Statements,财务报表附注,年报/半年报/季报
股本,Share Capital,Balance Sheet - Equity,资产负债表 — 三、所有者权益,年报/半年报/季报
其他权益工具,Other Equity Instruments,Balance Sheet - Equity,资产负债表 — 三、所有者权益,年报/半年报/季报
优先股,Preferred Shares,Balance Sheet - Equity,资产负债表 — 三、所有者权益,年报/半年报/季报
永续债,Perpetual Bonds,Balance Sheet - Equity,资产负债表 — 三、所有者权益,年报/半年报/季报
资本公积,Capital Reserve,Balance Sheet - Equity,资产负债表 — 三、所有者权益,年报/半年报/季报
减：库存股,Less: Treasury Shares,Balance Sheet - Equity,资产负债表 — 三、所有者权益,年报/半年报/季报
其他综合收益,Other Comprehensive Income,Balance Sheet - Equity,资产负债表 — 三、所有者权益,年报/半年报/季报
专项储备,Special Reserves,Balance Sheet - Equity,资产负债表 — 三、所有者权益,年报/半年报/季报
盈余公积,Statutory Surplus,Balance Sheet - Equity,资产负债表 — 三、所有者权益,年报/半年报/季报
一般风险准备金,General Risk Reserve,Balance Sheet - Equity,资产负债表 — 三、所有者权益,年报/半年报/季报
未分配利润,Retained Earnings,Balance Sheet - Equity,资产负债表 — 三、所有者权益,年报/半年报/季报
外币报表折算差额,Foreign Currency Translation Reserve,Balance Sheet - Equity,资产负债表 — 三、所有者权益,年报/半年报/季报
归属于母公司股东及其他权益持有者的权益合计,Total Equity Attributable to Parent,Balance Sheet - Equity,资产负债表 — 三、所有者权益,年报/半年报/季报
归属于母公司普通股股东权益合计,Total Equity Attributable to Ordinary Shareholders,Balance Sheet - Equity,资产负债表 — 三、所有者权益,年报/半年报/季报
归属于母公司普通股股东的每股股东权益,Equity per Share Attributable to Ordinary Shareholders,Notes to Financial Statements,财务报表附注,年报/半年报/季报
少数股东权益,Minority Interest,Balance Sheet - Equity,资产负债表 — 三、所有者权益,年报/半年报/季报
风险加权资产合计,Total Risk-Weighted Assets,Risk Management - Capital Adequacy,风险管理 — 资本充足率,年报/半年报
核心一级资本充足率,Common Equity Tier 1 Capital Adequacy Ratio,Risk Management - Capital Adequacy,风险管理 — 资本充足率,年报/半年报
一级资本充足率,Tier 1 Capital Adequacy Ratio,Risk Management - Capital Adequacy,风险管理 — 资本充足率,年报/半年报
资本充足率,Capital Adequacy Ratio,Risk Management - Capital Adequacy,风险管理 — 资本充足率,年报/半年报
净利差,Net Interest Spread,Management Discussion & Analysis - Financial Summary,管理层讨论与分析 — 财务概要,年报/半年报
净息差,Net Interest Margin,Management Discussion & Analysis - Financial Summary,管理层讨论与分析 — 财务概要,年报/半年报
流动性覆盖率,Liquidity Coverage Ratio,Risk Management - Liquidity Risk,风险管理 — 流动性风险,年报/半年报
流动性比例（人民币）,Liquidity Ratio (RMB),Risk Management - Liquidity Risk,风险管理 — 流动性风险,年报/半年报/季报
流动性比例（外币）,Liquidity Ratio (Foreign Currency),Risk Management - Liquidity Risk,风险管理 — 流动性风险,年报/半年报/季报
流动性比例（折人民币）,Liquidity Ratio (in RMB equivalent),Risk Management - Liquidity Risk,风险管理 — 流动性风险,年报/半年报/季报
贷款和垫款总额,Total Loans and Advances,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报/季报
正常类贷款,Performing Loans,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报/季报
关注类贷款,Special Mention Loans,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报/季报
不良贷款余额,Non-performing Loans,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报/季报
次级类贷款,Substandard Loans,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报/季报
可疑类贷款,Doubtful Loans,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报/季报
损失类贷款,Loss Loans,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报/季报
逾期贷款,Overdue Loans,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报/季报
逾期90天贷款,Overdue 90 Days Loans,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报/季报
重组贷款,Restructured Loans,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报/季报
逾期90天的重组贷款,Restructured Loans Overdue 90 Days,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报/季报
贷款损失准备,Loan Loss Provisions,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报/季报
正常类贷款迁徙率,Passing Loan Migration Rate,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报
关注类贷款迁徙率,Special Mention Loan Migration Rate,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报
次级类贷款迁徙率,Substandard Loan Migration Rate,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报
可疑类贷款迁徙率,Doubtful Loan Migration Rate,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报
不良率,NPL Ratio,Computed,计算指标,年报/半年报/季报
拨贷比,Loan Loss Provision Ratio,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报/季报
不良贷款拨备覆盖率,NPL Provision Coverage Ratio,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报/季报
逾期贷款率,Overdue Loan Ratio,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报/季报
逾期90天贷款率,Overdue 90 Days Loan Ratio,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报/季报
重组贷款率,Restructured Loan Ratio,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报/季报
逾期90天重组贷款率,Restructured Loan Overdue 90 Days Ratio,Risk Management - Credit Risk - Loan Quality,风险管理 — 信用风险 — 贷款质量,年报/半年报/季报
员工人数,Number of Employees,Human Resources - Employee Information,人力资源管理 — 员工情况,年报/半年报/季报
博士人数,Number of PhD Holders,Human Resources - Employee Information,人力资源管理 — 员工情况,年报/半年报/季报
硕士人数,Number of Master's Holders,Human Resources - Employee Information,人力资源管理 — 员工情况,年报/半年报/季报
学士人数,Number of Bachelor's Holders,Human Resources - Employee Information,人力资源管理 — 员工情况,年报/半年报/季报
大专人数,Number of Associate Degree Holders,Human Resources - Employee Information,人力资源管理 — 员工情况,年报/半年报/季报
高中及以下人数,Number of High School and Below,Human Resources - Employee Information,人力资源管理 — 员工情况,年报/半年报/季报
生产人员人数,Number of Production Personnel,Human Resources - Employee Information (by Function),人力资源管理 — 员工情况（按职能）,年报/半年报/季报
销售人员人数,Number of Sales Personnel,Human Resources - Employee Information (by Function),人力资源管理 — 员工情况（按职能）,年报/半年报/季报
技术人员人数,Number of Technical Personnel,Human Resources - Employee Information (by Function),人力资源管理 — 员工情况（按职能）,年报/半年报/季报
财务人员人数,Number of Finance Personnel,Human Resources - Employee Information (by Function),人力资源管理 — 员工情况（按职能）,年报/半年报/季报
行政人员人数,Number of Administrative Personnel,Human Resources - Employee Information (by Function),人力资源管理 — 员工情况（按职能）,年报/半年报/季报
其他人员人数,Number of Other Personnel,Human Resources - Employee Information (by Function),人力资源管理 — 员工情况（按职能）,年报/半年报/季报
市值,Market Capitalization,Market Data (External),市场数据（外部）,实时
总股数,Total Number of Shares,Share Changes - Shareholders Information,股本变动 — 股东情况,年报/半年报/季报
流通股数,Number of Free-float Shares,Share Changes - Shareholders Information,股本变动 — 股东情况,年报/半年报/季报
总股东人数（季度）,Total Number of Shareholders (Quarterly),Shareholders Information,股东情况,年报/半年报/季报
A股股东人数（季度）,Number of A-Share Holders (Quarterly),Shareholders Information,股东情况,年报/半年报/季报
第一大股东持仓占总股本比例,Top 1 Shareholder Ownership,Shareholders Information - Major Shareholders,股东情况 — 主要股东,年报/半年报/季报
前十大股东持仓占总股本比例,Top 10 Shareholders Ownership,Shareholders Information - Major Shareholders,股东情况 — 主要股东,年报/半年报/季报
前十大流通股东持仓占流通股本比例,Top 10 Free-float Shareholders Ownership,Shareholders Information - Major Shareholders,股东情况 — 主要股东,年报/半年报/季报
进公募基金前十大持仓占流通股本比例,Top 10 Mutual Fund Holdings,Fund Holdings (External),基金持仓（外部）,季报/半年报
公募基金持仓占流通股本比例,Mutual Fund Ownership Ratio,Fund Holdings (External),基金持仓（外部）,季报/半年报
公募基金+自由流通股东持仓占自由流通股本比例,Mutual Fund + Free-float Ownership,Fund Holdings (External),基金持仓（外部）,季报/半年报
PE-TTM,PE-TTM Ratio,Market Data (External),市场数据（外部）,实时
PE-TTM（扣非）,PE-TTM (Excluding Non-recurring Items),Market Data (External),市场数据（外部）,实时
PB,PB Ratio,Market Data (External),市场数据（外部）,实时
PB（不含商誉）,PB Ratio (Excluding Goodwill),Market Data (External),市场数据（外部）,实时
PS-TTM,PS-TTM Ratio,Market Data (External),市场数据（外部）,实时
PCF-TTM,PCF-TTM Ratio,Market Data (External),市场数据（外部）,实时
股息率,Dividend Yield,Market Data (External),市场数据（外部）,实时
营业收入,Operating Revenue,Income Statement - Revenue,利润表 — 一、营业收入,年报/半年报/季报
净利息收入,Net Interest Income,Income Statement - Revenue,利润表 — 一、营业收入,年报/半年报/季报
利息收入,Interest Income,Income Statement - Revenue,利润表 — 一、营业收入,年报/半年报/季报
利息支出,Interest Expense,Income Statement - Revenue,利润表 — 一、营业收入,年报/半年报/季报
净息收入占比,Net Interest Income Ratio,Notes to Financial Statements,财务报表附注,年报/半年报/季报
非息收入,Non-interest Income,Income Statement - Revenue,利润表 — 一、营业收入,年报/半年报/季报
非息收入占比,Non-interest Income Ratio,Notes to Financial Statements,财务报表附注,年报/半年报/季报
手续费及佣金净收入,Net Fee and Commission Income,Income Statement - Revenue,利润表 — 一、营业收入,年报/半年报/季报
手续费及佣金收入,Fee and Commission Income,Income Statement - Revenue,利润表 — 一、营业收入,年报/半年报/季报
手续费及佣金支出,Fee and Commission Expense,Income Statement - Revenue,利润表 — 一、营业收入,年报/半年报/季报
公允价值变动收益,Changes in Fair Value,Income Statement - Revenue,利润表 — 一、营业收入,年报/半年报/季报
投资收益,Investment Income,Income Statement - Revenue,利润表 — 一、营业收入,年报/半年报/季报
对联营企业及合营企业的投资收益,Income from Associates and Joint Ventures,Income Statement - Revenue,利润表 — 一、营业收入,年报/半年报/季报
汇兑收益,Exchange Gains,Income Statement - Revenue,利润表 — 一、营业收入,年报/半年报/季报
其他业务收入,Other Operating Revenue,Income Statement - Revenue,利润表 — 一、营业收入,年报/半年报/季报
营业支出,Operating Expenses,Income Statement - Operating Expenses,利润表 — 二、营业支出,年报/半年报/季报
税金及附加,Taxes and Surcharges,Income Statement - Operating Expenses,利润表 — 二、营业支出,年报/半年报/季报
业务及管理费用,Operating and Administrative Expenses,Income Statement - Operating Expenses,利润表 — 二、营业支出,年报/半年报/季报
其他业务成本,Other Operating Costs,Income Statement - Operating Expenses,利润表 — 二、营业支出,年报/半年报/季报
收入成本比,Cost-to-Income Ratio,Notes to Financial Statements,财务报表附注,年报/半年报/季报
信用减值损失,Credit Impairment Loss,Income Statement - Operating Expenses,利润表 — 二、营业支出,年报/半年报/季报
资产减值损失,Asset Impairment Loss,Income Statement - Operating Expenses,利润表 — 二、营业支出,年报/半年报/季报
其他资产减值损失,Other Asset Impairment Loss,Income Statement - Operating Expenses,利润表 — 二、营业支出,年报/半年报/季报
营业利润,Operating Profit,Income Statement - Operating Profit,利润表 — 三、营业利润,年报/半年报/季报
营业利润率,Operating Profit Margin,Computed,计算指标,年报/半年报/季报
加：营业外收入,Add: Non-operating Income,Income Statement - Operating Profit,利润表 — 三、营业利润,年报/半年报/季报
减：营业外支出,Less: Non-operating Expenses,Income Statement - Operating Profit,利润表 — 三、营业利润,年报/半年报/季报
利润总额,Total Profit,Income Statement - Total Profit,利润表 — 四、利润总额,年报/半年报/季报
减：所得税费用,Less: Income Tax Expense,Income Statement - Total Profit,利润表 — 四、利润总额,年报/半年报/季报
有效税率,Effective Tax Rate,Notes to Financial Statements,财务报表附注,年报/半年报/季报
净利润,Net Profit,Income Statement - Net Profit,利润表 — 五、净利润,年报/半年报/季报
净利润率,Net Profit Margin,Computed,计算指标,年报/半年报/季报
（一）持续经营净利润,Net Profit from Continuing Operations,Income Statement - Net Profit,利润表 — 五、净利润,年报/半年报/季报
（二）终止经营净利润,Net Profit from Discontinued Operations,Income Statement - Net Profit,利润表 — 五、净利润,年报/半年报/季报
归属于母公司股东及其他权益持有者的净利润,Net Profit Attributable to Parent Equity Holders,Income Statement - Net Profit,利润表 — 五、净利润,年报/半年报/季报
归属于母公司普通股股东的净利润,Net Profit Attributable to Ordinary Shareholders,Income Statement - Net Profit,利润表 — 五、净利润,年报/半年报/季报
少数股东损益,Minority Interest Profit,Income Statement - Net Profit,利润表 — 五、净利润,年报/半年报/季报
归属于母公司普通股股东的扣除非经常性损益的净利润,Recurring Net Profit Attributable to Ordinary Shareholders,Notes to Financial Statements,财务报表附注,年报/半年报/季报
扣非净利润占比,Recurring Net Profit Ratio,Notes to Financial Statements,财务报表附注,年报/半年报/季报
归属于母公司普通股股东的加权ROE,Weighted ROE Attributable to Ordinary Shareholders,Notes to Financial Statements,财务报表附注,年报/半年报/季报
归属于母公司普通股股东的扣非加权ROE,Recurring Weighted ROE Attributable to Ordinary Shareholders,Notes to Financial Statements,财务报表附注,年报/半年报/季报
基本每股收益,Basic EPS,Income Statement - EPS,利润表 — 六、每股收益,年报/半年报/季报
稀释每股收益,Diluted EPS,Income Statement - EPS,利润表 — 六、每股收益,年报/半年报/季报
