指标名称,模块,来源类型,报表类型,提取器,适用范围,所在位置,ICBC年报,ICBC半年报,ICBC_Q1,ICBC_Q3,茅台年报,茅台半年报,茅台Q1,茅台Q3
资产总计,balance_sheet,akshare,年报/半年报/季报,auto,universal[*],akshare:balance_sheet,OK,OK,OK,OK,OK,OK,OK,OK
负债合计,balance_sheet,akshare,年报/半年报/季报,auto,universal[*],akshare:balance_sheet,OK,OK,OK,OK,OK,OK,OK,OK
所有者权益合计,balance_sheet,akshare,年报/半年报/季报,auto,universal[*],akshare:balance_sheet,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
客户存款,balance_sheet,report,年报/半年报/季报,llm,bank(*)[*],客户存款,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
发放贷款及垫款,balance_sheet,report,年报/半年报/季报,llm,bank(*)[*],发放贷款及垫款,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
资本充足率,balance_sheet,report,年报/半年报,llm,bank(*)[*],资本充足率分析,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
一级资本充足率,balance_sheet,report,年报/半年报,llm,bank(*)[*],资本充足率分析,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
核心一级资本充足率,balance_sheet,report,年报/半年报,llm,bank(*)[*],资本充足率分析,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
风险加权资产合计,balance_sheet,report,年报/半年报,llm,bank(*)[*],资本充足率,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
净利差,balance_sheet,report,年报/半年报,llm,bank(*)[*],主要财务指标,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
净息差,balance_sheet,report,年报/半年报,llm,bank(*)[*],主要财务指标,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
流动性覆盖率,balance_sheet,report,年报/半年报,llm,bank(*)[*],流动性风险,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
流动性比例（人民币）,balance_sheet,report,年报/半年报/季报,llm,bank(*)[*],流动性风险,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
贷款和垫款总额,balance_sheet,report,年报/半年报/季报,llm,bank(*)[*],五、贷款质量,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
不良贷款余额,balance_sheet,report,年报/半年报/季报,llm,bank(*)[*],贷款质量,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
不良率,balance_sheet,computed,年报/半年报/季报,computed,bank(*)[*],computed:不良贷款余额 / 贷款和垫款总额 * 100,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
拨备覆盖率,balance_sheet,report,,llm,bank(*)[*],贷款质量,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
拨贷比,balance_sheet,report,年报/半年报/季报,llm,bank(*)[*],贷款质量,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
正常类贷款迁徙率,balance_sheet,report,年报/半年报,llm,bank(*)[*],贷款质量,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
关注类贷款迁徙率,balance_sheet,report,年报/半年报,llm,bank(*)[*],贷款质量,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
次级类贷款迁徙率,balance_sheet,report,年报/半年报,llm,bank(*)[*],贷款质量,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
可疑类贷款迁徙率,balance_sheet,report,年报/半年报,llm,bank(*)[*],贷款质量,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,missing,missing,skip:form_filter,skip:form_filter
逾期贷款率,balance_sheet,report,年报/半年报/季报,llm,bank(*)[*],贷款质量,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
重组贷款率,balance_sheet,report,年报/半年报/季报,llm,bank(*)[*],贷款质量,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
逾期90天重组贷款率,balance_sheet,report,年报/半年报/季报,llm,bank(国有大行/股份制)[*],贷款质量,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
员工人数,balance_sheet,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
前十大股东持仓占总股本比例,balance_sheet,report,年报/半年报/季报,llm,universal[*],股本变动,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
营业收入,income_statement,akshare,年报/半年报/季报,auto,universal[*],akshare:income_statement,OK,OK,OK,OK,OK,OK,OK,OK
净利润,income_statement,akshare,年报/半年报/季报,auto,universal[*],akshare:income_statement,OK,OK,OK,OK,OK,OK,OK,OK
净利息收入,income_statement,akshare,年报/半年报/季报,auto,bank(*)[*],akshare:income_statement,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,missing,missing,missing,missing
手续费及佣金净收入,income_statement,akshare,年报/半年报/季报,auto,bank(*)[*],akshare:income_statement,OK,OK,OK,OK,missing,missing,missing,missing
营业利润,income_statement,akshare,年报/半年报/季报,auto,universal[*],akshare:income_statement,OK,OK,OK,OK,OK,OK,OK,OK
利润总额,income_statement,akshare,年报/半年报/季报,auto,universal[*],akshare:income_statement,OK,OK,OK,OK,OK,OK,OK,OK
基本每股收益,income_statement,akshare,年报/半年报/季报,auto,universal[*],akshare:income_statement,OK,OK,OK,OK,OK,OK,OK,OK
分红金额,income_statement,report,年报,llm,universal[*],利润分配,section_found/no_value,skip:form_filter,skip:form_filter,skip:form_filter,section_found/no_value,skip:form_filter,skip:form_filter,skip:form_filter
经营活动产生的现金流量净额,cashflow,akshare,年报/半年报/季报,auto,universal[*],akshare:cashflow,OK,OK,OK,OK,OK,OK,OK,OK
投资活动产生的现金流量净额,cashflow,akshare,年报/半年报/季报,auto,universal[*],akshare:cashflow,OK,OK,OK,OK,OK,OK,OK,OK
筹资活动产生的现金流量净额,cashflow,akshare,年报/半年报/季报,auto,universal[*],akshare:cashflow,OK,OK,OK,OK,OK,OK,OK,OK
资产负债率,financial_ratio,computed,年报/半年报/季报,computed,universal[*],computed:负债合计 / 资产总计 * 100,OK,OK,OK,OK,OK,OK,OK,OK
净利润率,financial_ratio,computed,年报/半年报/季报,computed,universal[*],computed:净利润 / 营业收入 * 100,OK,OK,OK,OK,OK,OK,OK,OK
营业利润率,financial_ratio,computed,年报/半年报/季报,computed,universal[*],computed:营业利润 / 营业收入 * 100,OK,OK,OK,OK,OK,OK,OK,OK
拨贷比_coverage,financial_ratio,computed,,computed,bank(*)[*],computed:贷款损失准备 / 不良贷款余额 * 100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
人均营业收入,financial_ratio,computed,年报/半年报/季报,computed,universal[*],computed:营业收入 / 员工人数,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
人均净利润,financial_ratio,computed,年报/半年报/季报,computed,universal[*],computed:净利润 / 员工人数,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
境内收入,income_statement,report,年报/半年报,llm,universal[*],分部信息,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter
境外收入,income_statement,report,年报/半年报,llm,universal[*],分部信息,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter
现金及存放中央银行款项,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
现金,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
存放中央银行款项,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
存放同业及其他金融机构款项,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
贵金属,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,section_found/no_value,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆出资金,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,OK,OK,OK,OK,OK,OK,OK
买入返售金融资产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,OK
衍生金融资产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
金融投资,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
以公允价值计量且其变动计入当期损益的金融投资,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
以摊余成本计量的金融投资,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
以公允价值计量且其变动计入其他综合收益的金融投资,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
以公允价值计量且其变动计入其他综合收益的债务工具投资,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
指定为以公允价值计量且其变动计入其他综合收益的权益工具投资,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
可供出售金融资产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
持有至到期投资,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
应收款项投资,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
应收利息,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
长期应收款,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
长期股权投资,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,section_found/no_value,OK,OK,OK,OK,section_found/no_value,section_found/no_value
投资性房地产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,OK,OK,OK,OK
固定资产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,OK,OK,OK,OK
固定资产占总资产比率,report_section,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
在建工程,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,OK,OK,OK,OK
使用权资产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,OK,OK,OK,OK
无形资产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,section_found/no_value,section_found/no_value,OK,OK,OK,OK
商誉,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
商誉占净资产比率,report_section,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
递延所得税资产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,OK,OK,OK,OK
其他资产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
向中央银行借款,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
同业存入及拆入,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
同业及其他金融机构存放款项,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆入资金,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
衍生金融负债,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
以公允价值计量且其变动计入当期损益的金融负债,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
卖出回购金融资产,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
应付职工薪酬,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,OK,OK,OK,OK
应交税费,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,OK,OK,OK,OK
合同负债,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,OK,OK,OK,OK
租赁负债,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,OK,OK,OK,OK
预计负债,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
应付利息,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
应付债券,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
递延所得税负债,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,OK,OK,OK,OK
其他负债,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
股东权益占比,report_section,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
股本,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,OK,OK,OK,OK
其他权益工具,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
优先股,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
永续债,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
资本公积,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,OK,OK,OK,OK
减：库存股,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
其他综合收益,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,OK,OK,OK,OK
专项储备,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
盈余公积,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,OK,OK,OK,OK
一般风险准备金,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
未分配利润,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,OK,OK,OK,OK,OK,OK,OK,OK
外币报表折算差额,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
归属于母公司股东及其他权益持有者的权益合计,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
归属于母公司普通股股东权益合计,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
归属于母公司普通股股东的每股股东权益,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
少数股东权益,balance_sheet,report,年报/半年报/季报,python:table_row,universal[*],资产负债表,section_found/no_value,section_found/no_value,OK,OK,OK,OK,OK,OK
流动性比例（外币）,report_section,report,年报/半年报/季报,python:percent_value,universal[*],风险管理 — 流动性风险,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
流动性比例（折人民币）,report_section,report,年报/半年报/季报,python:percent_value,universal[*],风险管理 — 流动性风险,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
正常类贷款,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
关注类贷款,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
次级类贷款,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
可疑类贷款,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
损失类贷款,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
逾期贷款,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
逾期90天贷款,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
重组贷款,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
逾期90天的重组贷款,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
贷款损失准备,report_section,report,年报/半年报/季报,llm,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
