指标名称,模块,来源类型,报表类型,提取器,适用范围,所在位置,ICBC年报,ICBC半年报,ICBC_Q1,ICBC_Q3,茅台年报,茅台半年报,茅台Q1,茅台Q3
不良贷款拨备覆盖率,report_section,report,年报/半年报/季报,python:percent_value,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
逾期90天贷款率,report_section,report,年报/半年报/季报,python:percent_value,universal[*],风险管理 — 信用风险 — 贷款质量,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
博士人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
硕士人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
学士人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
大专人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
高中及以下人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
生产人员人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况（按职能）,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
销售人员人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况（按职能）,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
技术人员人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况（按职能）,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
财务人员人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况（按职能）,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
行政人员人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况（按职能）,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
其他人员人数,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况（按职能）,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
市值,market_data,external,实时,,universal[*],realtime/market,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external
总股数,report_section,report,年报/半年报/季报,llm,universal[*],股本变动 — 股东情况,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail
流通股数,report_section,report,年报/半年报/季报,llm,universal[*],股本变动 — 股东情况,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail
总股东人数（季度）,report_section,report,年报/半年报/季报,python:headcount,universal[*],股东情况,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail
A股股东人数（季度）,report_section,report,年报/半年报/季报,python:headcount,universal[*],股东情况,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail
第一大股东持仓占总股本比例,report_section,report,年报/半年报/季报,python:percent_value,universal[*],股东情况 — 主要股东,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail
前十大流通股东持仓占流通股本比例,report_section,report,年报/半年报/季报,python:percent_value,universal[*],股东情况 — 主要股东,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/no_value,section_found/no_value,section_found/extract_fail,section_found/extract_fail
进公募基金前十大持仓占流通股本比例,market_data,external,季报/半年报,,universal[*],realtime/market,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external
公募基金持仓占流通股本比例,market_data,external,季报/半年报,,universal[*],realtime/market,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external
公募基金+自由流通股东持仓占自由流通股本比例,market_data,external,季报/半年报,,universal[*],realtime/market,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external
PE-TTM,market_data,external,实时,,universal[*],realtime/market,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external
PE-TTM（扣非）,market_data,external,实时,,universal[*],realtime/market,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external
PB,market_data,external,实时,,universal[*],realtime/market,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external
PB（不含商誉）,market_data,external,实时,,universal[*],realtime/market,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external
PS-TTM,market_data,external,实时,,universal[*],realtime/market,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external
PCF-TTM,market_data,external,实时,,universal[*],realtime/market,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external
股息率,market_data,external,实时,,universal[*],realtime/market,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external
利息收入,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,OK,OK,OK,OK,section_found/no_value,OK,OK,OK
利息支出,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,OK,OK,OK,OK,section_found/no_value,OK,OK,OK
净息收入占比,report_section,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
非息收入,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
非息收入占比,report_section,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
手续费及佣金收入,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
手续费及佣金支出,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,OK,OK,OK,OK,section_found/no_value,OK,OK,OK
公允价值变动收益,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
投资收益,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
对联营企业及合营企业的投资收益,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
汇兑收益,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
其他业务收入,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
营业支出,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
税金及附加,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,OK,OK,OK,OK,section_found/no_value,OK,OK,OK
业务及管理费用,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
其他业务成本,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
收入成本比,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
信用减值损失,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
资产减值损失,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,OK,OK,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
其他资产减值损失,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
加：营业外收入,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,OK,OK,OK
减：营业外支出,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,OK,OK,OK
减：所得税费用,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,OK,OK,OK,OK,section_found/no_value,OK,OK,OK
有效税率,report_section,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
（一）持续经营净利润,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
（二）终止经营净利润,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
归属于母公司股东及其他权益持有者的净利润,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
归属于母公司普通股股东的净利润,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
少数股东损益,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,OK,OK,OK
归属于母公司普通股股东的扣除非经常性损益的净利润,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
扣非净利润占比,report_section,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
归属于母公司普通股股东的加权ROE,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
归属于母公司普通股股东的扣非加权ROE,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
稀释每股收益,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,OK,OK,OK
综合收益总额,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,OK,OK,OK
归属于母公司股东及其他权益持有者的综合收益总额,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
归属于母公司普通股股东的综合收益总额,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
归属于少数股东的综合收益总额,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
其他综合收益的税后净额,income_statement,report,年报/半年报/季报,python:table_row,universal[*],利润表,section_found/no_value,section_found/no_value,section_found/no_value,OK,section_found/no_value,OK,OK,OK
境内营业成本,report_section,report,年报/半年报,llm,universal[*],分部信息 — 分地区,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,section_found/extract_fail,section_found/extract_fail,skip:form_filter,skip:form_filter
境内毛利率,report_section,report,年报/半年报,python:percent_value,universal[*],分部信息 — 分地区,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,section_found/extract_fail,section_found/extract_fail,skip:form_filter,skip:form_filter
境内收入占比,report_section,report,年报/半年报,python:percent_value,universal[*],分部信息 — 分地区,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,section_found/extract_fail,section_found/extract_fail,skip:form_filter,skip:form_filter
境外营业成本,report_section,report,年报/半年报,llm,universal[*],分部信息 — 分地区,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,section_found/extract_fail,section_found/extract_fail,skip:form_filter,skip:form_filter
境外毛利率,report_section,report,年报/半年报,python:percent_value,universal[*],分部信息 — 分地区,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,section_found/extract_fail,section_found/extract_fail,skip:form_filter,skip:form_filter
境外收入占比,report_section,report,年报/半年报,python:percent_value,universal[*],分部信息 — 分地区,section_found/no_value,section_found/no_value,skip:form_filter,skip:form_filter,section_found/extract_fail,section_found/extract_fail,skip:form_filter,skip:form_filter
分红率,report_section,report,年报,python:percent_value,universal[*],重要事项 — 利润分配,section_found/no_value,skip:form_filter,skip:form_filter,skip:form_filter,section_found/no_value,skip:form_filter,skip:form_filter,skip:form_filter
A股分红金额,report_section,report,年报,llm,universal[*],重要事项 — 利润分配,section_found/no_value,skip:form_filter,skip:form_filter,skip:form_filter,section_found/no_value,skip:form_filter,skip:form_filter,skip:form_filter
A股融资金额,report_section,report,年报,llm,universal[*],融资情况,section_found/extract_fail,skip:form_filter,skip:form_filter,skip:form_filter,section_found/extract_fail,skip:form_filter,skip:form_filter,skip:form_filter
年度涨跌幅,market_data,external,年报,,universal[*],realtime/market,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external,skip:external
前五大客户收入占比,report_section,report,年报,python:percent_value,universal[*],客户情况,section_found/extract_fail,skip:form_filter,skip:form_filter,skip:form_filter,section_found/extract_fail,skip:form_filter,skip:form_filter,skip:form_filter
前五大供应商采购占比,report_section,report,年报,python:percent_value,universal[*],供应商情况,section_found/extract_fail,skip:form_filter,skip:form_filter,skip:form_filter,section_found/extract_fail,skip:form_filter,skip:form_filter,skip:form_filter
发放贷款及垫款的净减少额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
向中央银行借款净增加额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
客户存款和同业及其他金融机构存放款项净增加额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
客户存款净增加额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
同业及其他金融机构存放款项净增加额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
存放中央银行和同业及其他金融机构款项净减少额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
存放中央银行款项净减少额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
存放同业及其他金融机构款项净减少额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆入资金及卖出回购金融资产净增加额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆入资金净增加额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
卖出回购业务资金净增加额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆出资金及买入返售金融资产净减少额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆出资金净减少额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
买入返售金融资产款净减少额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
为交易目的而持有的金融资产净减少额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
收取利息、手续费及佣金的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,OK,OK
收到的其他与经营活动有关现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
经营活动现金流入小计,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,section_found/no_value,OK,OK
发放贷款及垫款的净增加额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
向中央银行借款净减少额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
客户存款和同业及其他金融机构存放款项净减少额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
客户存款净减少额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
同业及其他金融机构存放款项净减少额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
