指标名称,模块,来源类型,报表类型,提取器,适用范围,所在位置,ICBC年报,ICBC半年报,ICBC_Q1,ICBC_Q3,茅台年报,茅台半年报,茅台Q1,茅台Q3
存放中央银行和同业及其他金融机构款项净增加额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
存放中央银行款净增加额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
存放同业及其他金融机构款项净增加额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆入资金及卖出回购金融资产款净减少额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆入资金净减少额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
卖出回购业务资金净减少额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆出资金及买入返售金融资产净增加额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
拆出资金增加额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
买入返售金融资产净增加额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
为交易目的而持有的金融资产净增加额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
支付利息、手续费及佣金的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,OK,OK
支付给职工及为职工支付的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,OK,OK
支付的各种税费,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
支付的其他与经营活动有关现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
经营活动现金流出小计,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,section_found/no_value,OK,OK
收回投资收到的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,section_found/no_value,OK,OK
取得投资收益所收到的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
处置固定资产、无形资产及其他长期资产收到的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
处置子公司、合营联营企业及其他营业单位收到的现金净额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
处置子公司或其他营业单位收到的现金净额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
处置合营或联营公司所收到的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
收到的其他与投资活动相关的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
投资活动现金流入小计,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,section_found/no_value,OK,OK
投资所支付的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
购建固定资产、无形资产及其他长期资产所支付的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
取得子公司、合营联营企业及其他营业单位支付的现金净额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
取得子公司及其营业单位支付的现金净额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
取得联营及合营公司支付的现金净额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
支付的其他与投资活动有关的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,OK,section_found/no_value,section_found/no_value
投资活动现金流出小计,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,section_found/no_value,OK,OK
吸收投资收到的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
子公司吸收少数股东投资收到的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
资产证券化收到的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
发行存款证收到的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
发行债券收到的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
发行同业存单收到的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
发行永续债收到的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
上市募集资金总额,cashflow,report,年报,python:table_row,universal[*],现金流量表,section_found/no_value,skip:form_filter,skip:form_filter,skip:form_filter,section_found/no_value,skip:form_filter,skip:form_filter,skip:form_filter
收到的其他与筹资活动有关的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
筹资活动产生的现金流入小计,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
偿还已发行存款证支付的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
偿付债务支付的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
偿还已发行同业存单支付的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
偿还债券利息支付的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
分配股利、利润或偿付利息所支付的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
子公司支付少数股东股利及利润,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
赎回非控制性权益支付的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
支付新股发行费用,cashflow,report,年报,python:table_row,universal[*],现金流量表,section_found/no_value,skip:form_filter,skip:form_filter,skip:form_filter,section_found/no_value,skip:form_filter,skip:form_filter,skip:form_filter
支付的其他与筹资活动有关的现金,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,OK,section_found/no_value,section_found/no_value
筹资活动产生的现金流出小计,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
汇率变动对现金及现金等价物的影响,cashflow,report,年报/半年报/季报,python:percent_value,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
期初现金及现金等价物的余额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
现金及现金等价物的净增加额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
期末现金及现金等价物净余额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
加：资产减值准备,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
固定资产折旧、油气资产折耗、生产性生物资产折旧,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
投资性房地产的折旧及摊销,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
使用权资产摊销,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
无形资产摊销,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
长期待摊费用摊销,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
处置固定资产、无形资产和其他长期资产的损失,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
固定资产报废损失,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
公允价值变动损失,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
财务费用,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,OK,section_found/no_value,section_found/no_value,section_found/no_value
投资损失,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
递延所得税资产减少,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
递延所得税负债增加,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
存货的减少,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
经营性应收项目的减少,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
经营性应付项目的增加,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,OK,OK,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
其他,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,OK,OK,OK,OK,section_found/no_value,OK,OK,OK
一年内到期的可转换公司债券,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
融资租入固定资产,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
人均薪酬,report_section,report,年报/半年报/季报,python:headcount,universal[*],人力资源管理 — 员工情况,OK,OK,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
贷存比,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
归属于母公司普通股股东的每股收益,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
归属于母公司普通股股东的每股扣非收益,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
每股资本公积,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
每股未分配利润,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
每股分红,report_section,report,年报,llm,universal[*],财务报表附注,section_found/extract_fail,skip:form_filter,skip:form_filter,skip:form_filter,section_found/extract_fail,skip:form_filter,skip:form_filter,skip:form_filter
每股经营活动产生的现金流量,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
每股经营活动产生的现金流量净额,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
归属于少数股股东的ROE,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
归属于母公司普通股股东的ROE,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
归属于母公司普通股股东的扣非ROE,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
风险加权资产收益率（RORWA）,report_section,report,年报/半年报,python:percent_value,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,skip:form_filter,skip:form_filter,section_found/extract_fail,section_found/extract_fail,skip:form_filter,skip:form_filter
净资产收益率（ROE）,report_section,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
杠杆倍数,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
总资产收益率（ROA）,report_section,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
总资产周转率,report_section,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
固定资产周转率,report_section,report,年报/半年报/季报,python:percent_value,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
固定资产周转天数,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
股东权益周转天数,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
总资产周转天数,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
自由现金流量,report_section,report,年报/半年报/季报,llm,universal[*],财务报表附注,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail,section_found/extract_fail
经投融产生的现金流量净额,cashflow,report,年报/半年报/季报,python:table_row,universal[*],现金流量表,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value,section_found/no_value
